URL,File,Title,H1,Meta Description
/academia/,academia/index.html,Cognitive Logic — Academia Research Program,Research Infrastructure for Ethical AI,"Cognitive Logic academic collaboration program. QEN framework for researchers, PhD candidates and universities. Open dataset, joint publications, thesis supervision."
/articles/2026/agentic-coding-trends/,articles/2026/agentic-coding-trends/index.html,Agentic Coding 2026: il futuro è nella governance degli agenti | Cognitive Logic,Agentic Coding 2026: il futuro è nella governance degli agenti,Il 2026 Agentic Coding Trends Report di Anthropic descrive il passaggio dalla scrittura del codice alla progettazione e governance di ecosistemi multi-agente.
/,index.html,Cognitive Logic — QEN Framework · AI Ethics · Bologna,Governare l'intelligenza artificiale.,"QEN — Quantificazione Etica Naturale: framework di etica computabile con metriche verificabili per compliance EU AI Act, GDPR, CSRD e Bolkestein 2027. Roberto Bob Malini · Bologna."
/international-watch/agentic-coding-trends-anthropic/,international-watch/agentic-coding-trends-anthropic/index.html,Agentic Coding Trends 2026: il report Anthropic | Cognitive Logic,Agentic Coding Trends 2026: Anthropic documenta l’evoluzione degli agenti di coding,"Analisi del report Anthropic Agentic Coding Trends 2026: evoluzione degli agenti di coding, sviluppo software assistito dall’AI e nuove esigenze di governance."
/international-watch/eu-ai-act-article-50-transparency-guidelines/,international-watch/eu-ai-act-article-50-transparency-guidelines/index.html,Linee guida AI Act articolo 50: obblighi di trasparenza | Cognitive Logic,"AI Act, la Commissione chiarisce gli obblighi di trasparenza dell’articolo 50","La Commissione europea chiarisce gli obblighi di trasparenza dell’articolo 50 dell’AI Act per provider, deployer e contenuti generati dall’IA."
/international-watch/frontier-ai-governance-demis-hassabis/,international-watch/frontier-ai-governance-demis-hassabis/index.html,Demis Hassabis e la governance della Frontier AI | Cognitive Logic,Demis Hassabis propone un framework per la Frontier AI: verso una nuova governance globale dell’intelligenza artificiale,"Demis Hassabis propone un framework internazionale per governare la Frontier AI. Analisi di standard, valutazioni, sicurezza e governance della conoscenza."
/international-watch/,international-watch/index.html,International Watch | Global AI Governance Observatory,AI governance becomes infrastructure.,"International Watch is Cognitive Logic’s governed international observatory for AI governance, frontier AI, agentic systems, AI safety, explainability and decision traceability."
/qencode/hamster-ai-governance/,qencode/hamster-ai-governance/index.html,Hamster Court of AI Reality — QEN Code,QEN Code,"The strategic challenge is not choosing between speed and regulation, but designing intelligible, explainable and verifiable data architectures where compliance becomes an intrinsic property of AI systems rather than an external constraint."
/qencode/,qencode/index.html,QEN Code Registry — Cognitive Logic,QEN Code Registry,
/research/ai-governance-matters/,research/ai-governance-matters/index.html,Why AI Governance Matters More Than AI Performance | Cognitive Logic,Why AI Governance Matters More Than AI Performance,"Why trustworthy AI agents require governance, explainability, semantic identity, evidence and decision traceability—not only model performance."
/wizard-src/dist/,wizard-src/dist/index.html,QEN Self-Assessment,,
/wizard-src/,wizard-src/index.html,QEN Self-Assessment,,
